qid,docno,Rank,BM25 score,Title,Genre,label
qid,37202,0,14.1648001,Radiant,,3
qid,10259,1,12.7764782,Da Yu Hai Tang (Movie),,5
qid,32083,2,11.7119192,Luck & Logic,,5
qid,5998,3,11.5254515,Hottarake no Shima: Haruka to Mahou no Kagami,,2
qid,33314,4,11.2329587,Digimon Universe: Appli Monsters,,1
qid,31442,5,11.0770617,Musaigen no Phantom World,,4
qid,33206,6,10.8291463,Kobayashi-san Chi no Maid Dragon,,5
qid,3882,7,10.7848953,Seijuuki Cyguard,,5
qid,202,8,10.4553663,Wolf's Rain,,2
qid,2261,9,10.4155376,Malice@Doll,,1
qid,978,10,10.0264345,Change!! Getter Robo: Sekai Saigo no Hi,,1
qid,2756,11,9.93145712,Cheonnyeon-yeowoo Yeowoobi,,5
qid,8217,12,9.88777996,Jewelpet Twinkle☆,,5
qid,990,13,9.75914775,Kamisama Kazoku,,5
qid,7337,14,9.64279979,"Hetalia Axis Powers Movie: Paint it, White",,0
qid,10357,15,9.62606982,Jinrui wa Suitai Shimashita,,5
qid,3656,16,9.50707273,Monochrome Factor,,0
qid,2170,17,9.46038152,Sousei no Aquarion OVA,,4
qid,1806,18,9.45666917,Master Mosquiton '99,,5
qid,5296,19,9.3740287,Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!,,5
qid,4458,20,9.21351885,Bavel no Hon,,3
qid,977,21,9.15580944,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,,3
qid,4051,22,9.14555089,Net Ghost Pipopa,,4
qid,32979,23,9.09410371,Flip Flappers,,3
qid,39567,24,9.07813805,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,,5
qid,18153,25,8.99229822,Kyoukai no Kanata,,3
qid,790,26,8.97579142,Ergo Proxy,,1
qid,1361,27,8.90190757,Final Fantasy: The Spirits Within,,2
qid,2759,28,8.84216503,Evangelion: 1.0 You Are (Not) Alone,,1
qid,1169,29,8.79136992,Green Legend Ran,,1
qid,33783,30,8.77827789,Godzilla 1: Kaijuu Wakusei,,1
qid,2993,31,8.77304337,Rosario to Vampire,,5
qid,25015,32,8.68297759,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,,5
qid,5114,33,8.67616904,Fullmetal Alchemist: Brotherhood,,3
qid,31580,34,8.65144891,Ajin,,4
qid,31231,35,8.62232517,Pokemon Movie 19: Volcanion to Karakuri no Magearna,,4
qid,12671,36,8.61420858,Pokemon Movie 15: Kyurem vs. Seikenshi,,4
qid,39221,37,8.60413226,Bem,,3
qid,16498,38,8.54129765,Shingeki no Kyojin,,5
qid,1179,39,8.47384835,Gakuen Senki Muryou,,4
qid,1815,40,8.35179619,Shakugan no Shana Movie,,5
qid,385,41,8.32907636,Gilgamesh,,5
qid,37426,42,8.28758442,Sarazanmai,,5
qid,7395,43,8.27554854,Card Wang: Mix Master,,3
qid,11135,44,8.19545512,Hybrid Child,,2
qid,121,45,8.12533288,Fullmetal Alchemist,,0
qid,8557,46,8.08929288,Shinryaku! Ika Musume,,4
qid,32152,47,7.92520257,Closers: Side Blacklambs,,5
qid,8841,48,7.88777419,Kore wa Zombie Desu ka?,,1
qid,150,49,7.80314763,Blood+,,3
qid,838,50,7.77266974,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,,4
qid,270,51,7.73782839,Hellsing,,5
qid,2978,52,7.69269162,Shin Getter Robo,,5
qid,2757,53,7.66352977,Juuni Senshi Bakuretsu Eto Ranger,,5
qid,28537,54,7.65189918,Garo: Guren no Tsuki,,5
qid,7279,55,7.63459358,TO,,1
qid,34525,56,7.63153824,Centaur no Nayami,,0
qid,4026,57,7.56766288,Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,,5
qid,543,58,7.489382,Vampire Hunter D (2000),,3
qid,1642,59,7.48628329,Sugar Sugar Rune,,1
qid,22687,60,7.3690441,Terra Formars,,3
qid,777,61,7.32980774,Hellsing Ultimate,,3
qid,2744,62,7.29049207,Potemayo,,4
qid,612,63,7.25831195,PetoPeto-san,,4
qid,2049,64,7.22673511,Kouryuu Densetsu Villgust,,4
qid,348,65,7.19635906,Binzume Yousei,,5
qid,8311,66,7.13217742,Tegamibachi Reverse,,1
qid,28623,67,7.13217742,Koutetsujou no Kabaneri,,2
qid,37958,68,7.10780453,Fukigen na Mononokean Tsuzuki,,5
qid,36511,69,7.10309361,Tokyo Ghoul:re,,3
