qid,docno,Rank,BM25 score,Title,Genre,label
22,6234,6234,6234,True Tears Specials,"['Comedy', 'Parody', 'School']",3
22,3335,3335,3335,Haikara-san ga Tooru,"['Drama', 'Historical', 'Romance', 'Shoujo', 'Slice of Life']",2
22,37779,37779,37779,Yakusoku no Neverland,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Thriller', 'Shounen']",5
22,10020,10020,10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"['Slice of Life', 'Comedy']",0
22,275,275,275,Love♥Love?,"['Ecchi', 'Comedy', 'Harem', 'Romance']",1
22,28725,28725,28725,Kokoro ga Sakebitagatterunda.,"['Drama', 'Romance', 'School']",0
22,31519,31519,31519,Anitore! EX,"['Comedy', 'Sports']",1
22,1634,1634,1634,Ai Shimai: Futari no Kajitsu,['Hentai'],0
22,38062,38062,38062,Endro~!,"['Fantasy', 'Magic', 'Slice of Life']",0
22,9745,9745,9745,Sengoku Basara Movie: The Last Party,"['Action', 'Historical', 'Martial Arts', 'Samurai', 'Super Power']",1
22,33027,33027,33027,Infini-T Force,"['Action', 'Sci-Fi', 'Super Power']",4
22,34539,34539,34539,Saint Seiya: Saintia Shou,"['Action', 'Adventure', 'Seinen']",2
22,8190,8190,8190,Nodame Cantabile: Finale OVA,"['Comedy', 'Romance', 'Josei']",0
22,30321,30321,30321,Strike the Blood: Valkyria no Oukoku-hen,"['Action', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy', 'School', 'Shounen']",2
22,6171,6171,6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power', 'Supernatural']",0
22,189,189,189,Love Hina,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen', 'Slice of Life']",0
22,3210,3210,3210,Ikoku Irokoi Romantan,"['Comedy', 'Romance', 'Yaoi']",3
22,31715,31715,31715,Working!!!: Lord of the Takanashi,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",5
22,667,667,667,Kashimashi: Girl Meets Girl,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo Ai', 'Slice of Life']",1
22,221,221,221,Mezzo Forte,"['Action', 'Comedy', 'Hentai', 'Sci-Fi']",2
