qid,docno,Rank,BM25 score,Title,label
28,1485,0,15.379422,Akachan to Boku,2
28,1935,1,14.7630649,Megazone 23,1
28,427,2,14.178041,Kaleido Star,4
28,1557,3,13.2524,Shounen Onmyouji,2
28,1888,4,12.5200893,Ichigo Mashimaro OVA,5
28,10012,5,12.1117928,Carnival Phantasm,5
28,35427,6,11.0289483,Animegataris,4
28,1992,7,10.3834344,Chou Kousoku Gran Doll,5
28,2051,8,10.3074637,Akai Kiba: Blue Sonnet,0
28,38731,9,9.42151208,Diamond no Ace: Act II,3
28,10278,10,9.40734988,The iDOLM@STER,5
28,12979,11,9.16723396,Naruto SD: Rock Lee no Seishun Full-Power Ninden,5
28,1527,12,9.04946133,Pokemon: Senritsu no Mirage Pokemon,5
28,32551,13,9.01071282,Digimon Adventure tri. 3: Kokuhaku,2
28,260,14,8.8916025,Happy☆Lesson (TV),5
28,1798,15,8.63475925,Animation Seisaku Shinkou Kuromi-chan 2,4
28,275,16,8.5808771,Love♥Love?,5
28,1738,17,8.57024878,Muteki Kanban Musume,3
28,12711,18,8.54617347,Uta no☆Prince-sama♪ Maji Love 2000%,5
28,33201,19,8.4181279,Ojisan to Marshmallow: Hige-san to Yume Mashmallow,2
28,23135,20,8.40182541,PriPara,4
28,24211,21,8.31989561,Orenchi no Furo Jijou,4
28,30915,22,8.23377788,Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,1
28,40228,23,8.06166143,Bananya: Fushigi na Nakama-tachi,5
28,35075,24,8.05202083,Hoozuki no Reitetsu 2nd Season,3
28,7720,25,7.99252866,Ookiku Furikabutte: Natsu no Taikai-hen,3
28,32899,26,7.92895421,Watashi ga Motete Dousunda,3
28,2848,27,7.92574439,Kappa no Coo to Natsuyasumi,2
28,19157,28,7.78231406,Youkai Watch,2
28,495,29,7.60789284,Bakuretsu Hunters,3
28,10347,30,7.60789284,Happy Kappy,4
28,688,31,7.58733035,Uta∽Kata,3
28,9332,32,7.58593879,.hack//Quantum,3
28,1940,33,7.54735748,Outlanders,2
28,250,34,7.48777785,Konjiki no Gash Bell!!,3
28,2406,35,7.45234826,Sazae-san,5
28,10257,36,7.39081966,Pretty Rhythm: Aurora Dream,1
28,1591,37,7.37139671,Kujibiki♥Unbalance,3
28,9047,38,7.36852852,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,1
28,635,39,7.34995699,Juubee-chan: Lovely Gantai no Himitsu,2
28,23787,40,7.34995699,Hi☆sCoool! SeHa Girls,2
28,1913,41,7.14916057,Shonan Junai Gumi!,5
28,33142,42,7.10860619,Re:Zero kara Hajimeru Break Time,5
28,2315,43,7.09567964,Injuu Alien,2
28,6637,44,7.04291744,Higashi no Eden Movie II: Paradise Lost,5
28,12117,45,7.03260849,Detective Conan Movie 16: The Eleventh Striker,4
28,2967,46,7.02775461,Saishuu Shiken Kujira,5
28,1006,47,7.02775461,Tenchi Muyou! in Love,3
28,2622,48,6.98539066,Big Wars: Kami Utsu Akaki Kouya ni,1
28,24823,49,6.96906666,Days,3
28,3948,50,6.950925,Mahou Sensei Negima!: Introduction Film,0
28,2947,51,6.93993239,Ojamajo Doremi Sharp Movie,2
28,715,52,6.90666278,Yume de Aetara,2
28,5688,53,6.90417083,Gegege no Kitarou (1968),4
28,38768,54,6.87849669,Black Clover: Jump Festa 2018 Special,5
28,1613,55,6.87849669,Jikuu Ihoujin Kyoko: Chocola ni Omakase!,4
28,589,56,6.84536657,Ginga Nagareboshi Gin,2
28,479,57,6.83984455,Ueki no Housoku,3
28,10378,58,6.83984455,Shinryaku!? Ika Musume,5
28,416,59,6.80857558,Kurenai no Buta,3
28,8440,60,6.80506874,Black Lagoon Omake,3
28,1544,61,6.79455904,Super Robot Taisen OG The Animation,1
28,1025,62,6.79087548,Kachou Ouji,4
28,11759,63,6.77342127,Accel World,4
28,1837,64,6.76050198,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,3
28,1914,65,6.69843816,Saiunkoku Monogatari 2nd Season,5
