qid,docno,Rank,BM25 score,Title,label
35,1116,0,16.7154115,Junkers Come Here,3
35,10197,1,14.3765772,Nyanpire The Animation,0
35,2131,2,13.1006647,Bokusatsu Tenshi Dokuro-chan 2,0
35,32828,3,12.188221,Amaama to Inazuma,5
35,12355,4,11.9433444,Ookami Kodomo no Ame to Yuki,4
35,12531,5,11.0388057,Sakamichi no Apollon,1
35,32673,6,10.4254629,Udon no Kuni no Kiniro Kemari,4
35,6033,7,10.2283072,Dragon Ball Kai,0
35,488,8,9.47089723,Ichigo Mashimaro,2
35,586,9,9.37277407,Ayakashi: Japanese Classic Horror,0
35,22,10,9.302816,Tennis no Ouji-sama,0
35,472,11,9.15434815,To Heart,0
35,21273,12,9.03818433,Gochuumon wa Usagi Desu ka?,2
35,10014,13,9.02795183,Shouwa Monogatari,3
35,37976,14,8.90976337,Zombieland Saga,0
35,8063,15,8.86766879,Sekaiichi Hatsukoi OVA,0
35,6572,16,8.85827496,Shakugan no Shana S,0
35,4688,17,8.48991628,Minna Agechau♡,0
35,32353,18,8.13475757,Bonobono (TV 2016),1
35,16890,19,8.04630674,Makai Ouji: Devils and Realist,1
35,5712,20,8.01240397,Tanoshii Muumin Ikka Bouken Nikki,0
35,13055,21,7.91501412,Sankarea OVA,0
35,2817,22,7.85503194,Cinderella Monogatari,1
35,25879,23,7.81310654,Working!!!,1
35,14741,24,7.78240203,Chuunibyou demo Koi ga Shitai!,1
35,3162,25,7.58574637,Makiba no Shoujo Katri,4
35,2800,26,7.15339151,Candy Candy,3
35,1042,27,7.14204957,Bronze: Zetsuai Since 1989,0
35,10162,28,7.11907083,Usagi Drop,5
35,2172,29,7.08207155,Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,5
35,37396,30,6.82664813,Shikioriori,4
35,32998,31,6.78470036,91 Days,1
35,347,32,6.67454663,Wild Arms: Twilight Venom,0
35,9938,33,6.6425156,Ikoku Meiro no Croisée The Animation,5
