qid,docno,Rank,BM25 score,Title,label
37,22215,0,9.96564005,Pretty Rhythm: All Star Selection,0
37,2740,1,9.80196301,Monkey Turn,0
37,8986,2,9.56517261,Supernatural The Animation,0
37,35427,3,9.35719451,Animegataris,0
37,21439,4,9.20490874,Uta no☆Prince-sama♪ Maji Love Revolutions,1
37,12481,5,8.82317558,Gregory Horror Show: The Second Guest,0
37,32013,6,8.81949129,Oshiete! Galko-chan,1
37,2236,7,8.72742653,Toki wo Kakeru Shoujo,4
37,23787,8,8.67096728,Hi☆sCoool! SeHa Girls,0
37,29163,9,8.65482241,Sore ga Seiyuu!,2
37,1797,10,8.4639347,Animation Seisaku Shinkou Kuromi-chan,0
37,9167,11,8.31112202,Shukufuku no Campanella Specials,0
37,25835,12,8.28256753,Shirobako,4
37,685,13,8.26513437,To Heart: Remember My Memories,2
37,30384,14,8.25243762,Miss Monochrome The Animation 2,0
37,29513,15,8.02836587,Aki no Kanade,0
37,1798,16,7.95369907,Animation Seisaku Shinkou Kuromi-chan 2,0
37,40369,17,7.91030332,Mini Yuri,0
37,12711,18,7.77348327,Uta no☆Prince-sama♪ Maji Love 2000%,1
37,1046,19,7.76059588,Elf wo Karu Mono-tachi II,0
37,40477,20,7.61644981,Curry Meshi x Zombieland Saga,0
37,3470,21,7.5889449,Special A,3
37,11783,22,7.53071639,Dog Days',3
37,74,23,7.43539267,Gakuen Alice,0
37,309,24,7.25507315,Akahori Gedou Hour Rabuge,0
37,615,25,7.13394772,Nurse Witch Komugi-chan Magikarte,1
37,1080,26,7.13394772,Sentou Yousei Yukikaze,2
37,17357,27,7.10896334,Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,0
37,743,28,7.05414272,Umi ga Kikoeru,1
37,14075,29,6.96959199,Zetsuen no Tempest,5
37,22135,30,6.96599312,Ping Pong the Animation,5
37,2713,31,6.91049102,Rockman.EXE Beast+,0
37,444,32,6.89463915,Maria-sama ga Miteru: Haru,1
37,1546,33,6.85359289,Negima!?,0
37,1674,34,6.85274809,Captain Tsubasa J,3
37,2791,35,6.84306223,Makasete Iruka!,0
37,12365,36,6.77859214,Bakuman. 3rd Season,5
37,10217,37,6.74218926,Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,3
37,1992,38,6.74218926,Chou Kousoku Gran Doll,3
37,776,39,6.74218926,Nanaka 6/17,5
37,31439,40,6.69285983,Wagamama High Spec,2
37,264,41,6.6671925,Hajime no Ippo: Champion Road,5
37,9333,42,6.63111407,Koi☆Sento,0
37,5258,43,6.59633527,Hajime no Ippo: New Challenger,4
37,2585,44,6.52558763,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,3
37,5578,45,6.51969307,Gosho Aoyama's Collection of Short Stories,3
37,30205,46,6.45945588,Aoharu x Kikanjuu,4
37,1466,47,6.42336723,Hakugei Densetsu,1
37,3576,48,6.41140446,Kodai Ouja Kyouryuu King,1
37,6399,49,6.39228681,Higashi no Eden: Falling Down,0
37,103,50,6.36623018,Akazukin Chacha,4
37,1362,51,6.35417159,Street Fighter II Movie,4
37,2530,52,6.3358331,G-Taste,0
37,27775,53,6.32353622,Plastic Memories,4
37,7059,54,6.32353622,Black★Rock Shooter (OVA),2
37,30651,55,6.28647994,Itoshi no Muco,3
37,1524,56,6.27792618,Fuujin Monogatari,2
37,5298,57,6.27590343,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,4
37,4903,58,6.22824202,Kyou no 5 no 2 (TV),1
37,3270,59,6.19375818,IGPX: Immortal Grand Prix (2005),1
37,19319,60,6.16692823,Gundam Build Fighters,3
37,23327,61,6.15266591,Space☆Dandy 2nd Season,4
37,18119,62,6.11155957,Servant x Service,2
37,34209,63,6.10932827,Meiji Tokyo Renka,4
37,39063,64,6.06369789,Fairy Gone,1
37,8769,65,6.05978714,Ore no Imouto ga Konnani Kawaii Wake ga Nai,2
37,38483,66,6.045612,Ore wo Suki nano wa Omae dake ka yo,1
37,897,67,6.02591234,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,3
37,22,68,6.01949075,Tennis no Ouji-sama,4
37,40480,69,6.01521395,Sound & Fury,0
37,1865,70,5.94537565,Getsumen To Heiki Mina,0
37,6945,71,5.94012811,Gintama: Shiroyasha Koutan,5
37,9581,72,5.92966076,MM! Specials,1
37,10572,73,5.91400058,Ro-Kyu-Bu!,0
37,28149,74,5.89110369,Nihon Animator Mihonichi,2
